Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 00:51:15  Obuhvat2D	Cell #	     30491	   64.94	   0.036	22

01SEP2022 00:51:34  Obuhvat2D	Cell #	     30731	   65.55	   0.044	21
01SEP2022 00:51:53  Obuhvat2D	Cell #	     29917	   64.08	   0.065	20
01SEP2022 00:52:11  Obuhvat2D	Cell #	     30491	   64.97	   0.019	20
01SEP2022 00:52:30  Obuhvat2D	Cell #	     30491	   64.93	   0.047	21

01SEP2022 00:52:49  Obuhvat2D	Cell #	     30491	   64.95	   0.032	20
01SEP2022 00:53:08  Obuhvat2D	Cell #	     30731	   65.53	   0.012	20
01SEP2022 00:53:26  Obuhvat2D	Cell #	     30491	   64.95	   0.026	20
01SEP2022 00:53:45  Obuhvat2D	Cell #	     30491	   64.97	   0.012	20

01SEP2022 00:54:04  Obuhvat2D	Cell #	     30491	   64.98	   0.024	20
01SEP2022 00:54:23  Obuhvat2D	Cell #	     31115	   64.16	   0.049	21
01SEP2022 00:54:41  Obuhvat2D	Cell #	     31115	   64.23	   0.022	20
01SEP2022 00:55:00  Obuhvat2D	Cell #	     31353	   63.79	   0.055	20

01SEP2022 00:55:19  Obuhvat2D	Cell #	     30878	   64.11	   0.035	20
01SEP2022 00:55:38  Obuhvat2D	Cell #	     30491	   64.98	   0.010	21
01SEP2022 00:55:56  Obuhvat2D	Cell #	     30491	   64.97	   0.022	20
01SEP2022 00:56:15  Obuhvat2D	Cell #	     30491	   64.96	   0.038	20

01SEP2022 00:56:34  Obuhvat2D	Cell #	     30491	   64.95	   0.053	21
01SEP2022 00:56:53  Obuhvat2D	Cell #	     30491	   64.99	   0.014	20
01SEP2022 00:57:11  Obuhvat2D	Cell #	     30491	   64.99	   0.023	21
01SEP2022 00:57:30  Obuhvat2D	Cell #	     30491	   64.97	   0.028	20

01SEP2022 00:57:49  Obuhvat2D	Cell #	     30970	   65.80	   0.056	21
01SEP2022 00:58:08  Obuhvat2D	Cell #	     30491	   64.98	   0.012	20
