Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 10:26:24  Obuhvat2D	Cell #	     31922	   68.43	   0.231	20

01SEP2022 10:26:34  Obuhvat2D	Cell #	     29634	   70.43	   0.283	22
01SEP2022 10:26:43  Obuhvat2D	Cell #	     29638	   70.24	   0.106	21
01SEP2022 10:26:53  Obuhvat2D	Cell #	     29636	   70.41	   0.184	20
01SEP2022 10:27:02  Obuhvat2D	Cell #	     29636	   70.17	   0.245	20

01SEP2022 10:27:11  Obuhvat2D	Cell #	     29634	   70.45	   0.284	22
01SEP2022 10:27:21  Obuhvat2D	Cell #	     31922	   68.63	   0.054	21
01SEP2022 10:27:30  Obuhvat2D	Cell #	     31922	   68.65	   0.116	20
01SEP2022 10:27:39  Obuhvat2D	Cell #	     31922	   68.45	   0.207	20

01SEP2022 10:27:49  Obuhvat2D	Cell #	     29636	   70.21	   0.215	20
01SEP2022 10:27:58  Obuhvat2D	Cell #	     29636	   70.41	   0.197	21
01SEP2022 10:28:08  Obuhvat2D	Cell #	     29691	   69.49	   0.078	21
01SEP2022 10:28:17  Obuhvat2D	Cell #	     29638	   70.34	   0.085	20

01SEP2022 10:28:26  Obuhvat2D	Cell #	     29634	   70.09	   0.229	21
01SEP2022 10:28:36  Obuhvat2D	Cell #	     29634	   70.24	   0.182	20
01SEP2022 10:28:45  Obuhvat2D	Cell #	     29636	   70.26	   0.157	21
01SEP2022 10:28:54  Obuhvat2D	Cell #	     29634	   70.43	   0.236	22

01SEP2022 10:29:04  Obuhvat2D	Cell #	     29636	   70.13	   0.272	20
01SEP2022 10:29:13  Obuhvat2D	Cell #	     29634	   70.33	   0.069	20
01SEP2022 10:29:23  Obuhvat2D	Cell #	     29636	   70.18	   0.235	20
01SEP2022 10:29:32  Obuhvat2D	Cell #	     29634	   70.33	   0.074	21

01SEP2022 10:29:41  Obuhvat2D	Cell #	     29636	   70.27	   0.066	20
01SEP2022 10:29:51  Obuhvat2D	Cell #	     29636	   70.26	   0.129	21
01SEP2022 10:30:00  Obuhvat2D	Cell #	     29634	   70.10	   0.215	21
01SEP2022 10:30:09  Obuhvat2D	Cell #	     29634	   70.43	   0.331	20

01SEP2022 10:30:19  Obuhvat2D	Cell #	     31922	   68.52	   0.133	21
01SEP2022 10:30:28  Obuhvat2D	Cell #	     29636	   70.42	   0.202	21
01SEP2022 10:30:38  Obuhvat2D	Cell #	     29636	   70.16	   0.268	20
01SEP2022 10:30:47  Obuhvat2D	Cell #	     29634	   70.46	   0.293	20

01SEP2022 10:30:56  Obuhvat2D	Cell #	     29638	   70.25	   0.090	21
01SEP2022 10:31:06  Obuhvat2D	Cell #	     29634	   70.41	   0.093	20
01SEP2022 10:31:15  Obuhvat2D	Cell #	     29636	   70.22	   0.117	20
01SEP2022 10:31:24  Obuhvat2D	Cell #	     29634	   70.30	   0.116	20

01SEP2022 10:31:34  Obuhvat2D	Cell #	     29634	   70.12	   0.181	20
01SEP2022 10:31:43  Obuhvat2D	Cell #	     29636	   70.46	   0.312	22
01SEP2022 10:31:53  Obuhvat2D	Cell #	     29634	   70.43	   0.242	22
01SEP2022 10:32:02  Obuhvat2D	Cell #	     29634	   70.31	   0.237	21

01SEP2022 10:32:11  Obuhvat2D	Cell #	     31920	   69.03	   0.043	20
01SEP2022 10:32:21  Obuhvat2D	Cell #	     29634	   70.30	   0.118	20
01SEP2022 10:32:30  Obuhvat2D	Cell #	     29634	   70.14	   0.164	21
01SEP2022 10:32:39  Obuhvat2D	Cell #	     29636	   70.46	   0.284	22

01SEP2022 10:32:49  Obuhvat2D	Cell #	     29634	   70.44	   0.279	22
01SEP2022 10:32:58  Obuhvat2D	Cell #	     29691	   69.47	   0.090	21
01SEP2022 10:33:08  Obuhvat2D	Cell #	     29636	   70.42	   0.182	21
01SEP2022 10:33:17  Obuhvat2D	Cell #	     29636	   70.16	   0.253	20

01SEP2022 10:33:26  Obuhvat2D	Cell #	     29634	   70.44	   0.259	22
01SEP2022 10:33:36  Obuhvat2D	Cell #	     29636	   70.46	   0.276	21
01SEP2022 10:33:45  Obuhvat2D	Cell #	     29638	   70.27	   0.070	22
01SEP2022 10:33:54  Obuhvat2D	Cell #	     29634	   70.31	   0.118	20

01SEP2022 10:34:04  Obuhvat2D	Cell #	     29634	   70.11	   0.202	21
01SEP2022 10:34:13  Obuhvat2D	Cell #	     29634	   70.22	   0.215	20
01SEP2022 10:34:23  Obuhvat2D	Cell #	     29691	   69.40	   0.215	22
01SEP2022 10:34:32  Obuhvat2D	Cell #	     29634	   70.07	   0.341	21

01SEP2022 10:34:41  Obuhvat2D	Cell #	     29690	   69.84	   0.162	20
01SEP2022 10:34:51  Obuhvat2D	Cell #	     29691	   69.59	   0.100	21
01SEP2022 10:35:00  Obuhvat2D	Cell #	     29636	   70.24	   0.159	22
01SEP2022 10:35:09  Obuhvat2D	Cell #	     29636	   70.41	   0.169	21

01SEP2022 10:35:19  Obuhvat2D	Cell #	     29636	   70.11	   0.298	20
01SEP2022 10:35:28  Obuhvat2D	Cell #	     29634	   70.29	   0.204	20
01SEP2022 10:35:38  Obuhvat2D	Cell #	     29691	   69.45	   0.149	20
01SEP2022 10:35:47  Obuhvat2D	Cell #	     29634	   70.46	   0.285	21

01SEP2022 10:35:56  Obuhvat2D	Cell #	     31922	   68.49	   0.168	22
01SEP2022 10:36:06  Obuhvat2D	Cell #	     29634	   70.32	   0.097	21
01SEP2022 10:36:15  Obuhvat2D	Cell #	     29634	   70.11	   0.206	20
01SEP2022 10:36:24  Obuhvat2D	Cell #	     29634	   70.21	   0.216	22

01SEP2022 10:36:34  Obuhvat2D	Cell #	     29634	   70.41	   0.200	22
01SEP2022 10:36:43  Obuhvat2D	Cell #	     29634	   70.37	   0.304	20
01SEP2022 10:36:53  Obuhvat2D	Cell #	     29638	   70.27	   0.060	20
01SEP2022 10:37:02  Obuhvat2D	Cell #	     29634	   70.31	   0.100	20

01SEP2022 10:37:11  Obuhvat2D	Cell #	     29634	   70.12	   0.190	20
01SEP2022 10:37:21  Obuhvat2D	Cell #	     29634	   70.43	   0.219	20
01SEP2022 10:37:30  Obuhvat2D	Cell #	     29638	   70.33	   0.038	21
01SEP2022 10:37:39  Obuhvat2D	Cell #	     29634	   70.31	   0.102	21

01SEP2022 10:37:49  Obuhvat2D	Cell #	     29634	   70.12	   0.194	20
01SEP2022 10:37:58  Obuhvat2D	Cell #	     29634	   70.43	   0.235	22
01SEP2022 10:38:08  Obuhvat2D	Cell #	     29636	   70.47	   0.344	20
01SEP2022 10:38:17  Obuhvat2D	Cell #	     29638	   70.26	   0.082	21

01SEP2022 10:38:26  Obuhvat2D	Cell #	     29634	   70.41	   0.106	21
01SEP2022 10:38:36  Obuhvat2D	Cell #	     29634	   70.34	   0.269	21
01SEP2022 10:38:45  Obuhvat2D	Cell #	     29634	   70.07	   0.271	23
01SEP2022 10:38:54  Obuhvat2D	Cell #	     29634	   70.30	   0.131	20

01SEP2022 10:39:04  Obuhvat2D	Cell #	     29634	   70.15	   0.145	21
01SEP2022 10:39:13  Obuhvat2D	Cell #	     29634	   70.44	   0.293	22
01SEP2022 10:39:23  Obuhvat2D	Cell #	     29636	   70.47	   0.354	21
01SEP2022 10:39:32  Obuhvat2D	Cell #	     29638	   70.28	   0.046	22

01SEP2022 10:39:41  Obuhvat2D	Cell #	     29634	   70.41	   0.112	22
01SEP2022 10:39:51  Obuhvat2D	Cell #	     29636	   70.46	   0.258	21
01SEP2022 10:40:00  Obuhvat2D	Cell #	     29638	   70.28	   0.061	22
01SEP2022 10:40:09  Obuhvat2D	Cell #	     29634	   70.31	   0.113	20

01SEP2022 10:40:19  Obuhvat2D	Cell #	     29634	   70.11	   0.204	21
01SEP2022 10:40:28  Obuhvat2D	Cell #	     29634	   70.22	   0.214	22
01SEP2022 10:40:38  Obuhvat2D	Cell #	     31922	   68.46	   0.222	22
01SEP2022 10:40:47  Obuhvat2D	Cell #	     29634	   70.07	   0.321	22

01SEP2022 10:40:56  Obuhvat2D	Cell #	     29634	   70.29	   0.132	20
01SEP2022 10:41:06  Obuhvat2D	Cell #	     29634	   70.15	   0.136	21
01SEP2022 10:41:15  Obuhvat2D	Cell #	     29634	   70.44	   0.293	22
01SEP2022 10:41:24  Obuhvat2D	Cell #	     29636	   70.47	   0.344	20

01SEP2022 10:41:34  Obuhvat2D	Cell #	     31922	   68.42	   0.255	20
01SEP2022 10:41:43  Obuhvat2D	Cell #	     29638	   70.34	   0.045	20
01SEP2022 10:41:53  Obuhvat2D	Cell #	     31922	   68.61	   0.075	20
01SEP2022 10:42:02  Obuhvat2D	Cell #	     29636	   70.27	   0.091	22

01SEP2022 10:42:11  Obuhvat2D	Cell #	     29634	   70.30	   0.129	20
01SEP2022 10:42:21  Obuhvat2D	Cell #	     29634	   70.12	   0.183	21
01SEP2022 10:42:30  Obuhvat2D	Cell #	     29634	   70.44	   0.325	20
01SEP2022 10:42:39  Obuhvat2D	Cell #	     29634	   70.09	   0.183	20

01SEP2022 10:42:49  Obuhvat2D	Cell #	     29634	   70.24	   0.194	22
01SEP2022 10:42:58  Obuhvat2D	Cell #	     29636	   70.14	   0.262	22
01SEP2022 10:43:08  Obuhvat2D	Cell #	     29638	   70.33	   0.029	20
01SEP2022 10:43:17  Obuhvat2D	Cell #	     29636	   70.46	   0.264	21

01SEP2022 10:43:26  Obuhvat2D	Cell #	     29634	   70.17	   0.108	22
01SEP2022 10:43:36  Obuhvat2D	Cell #	     29634	   70.45	   0.283	22
01SEP2022 10:43:45  Obuhvat2D	Cell #	     29636	   70.46	   0.258	20
01SEP2022 10:43:54  Obuhvat2D	Cell #	     29638	   70.28	   0.061	22

01SEP2022 10:44:04  Obuhvat2D	Cell #	     29634	   70.30	   0.118	20
01SEP2022 10:44:13  Obuhvat2D	Cell #	     29634	   70.11	   0.190	20
01SEP2022 10:44:23  Obuhvat2D	Cell #	     29636	   70.22	   0.217	22
01SEP2022 10:44:32  Obuhvat2D	Cell #	     29636	   70.42	   0.203	20

01SEP2022 10:44:41  Obuhvat2D	Cell #	     29636	   70.11	   0.311	20
01SEP2022 10:44:51  Obuhvat2D	Cell #	     29634	   70.26	   0.162	21
01SEP2022 10:45:00  Obuhvat2D	Cell #	     29691	   69.58	   0.084	20
01SEP2022 10:45:09  Obuhvat2D	Cell #	     29636	   70.27	   0.128	20

01SEP2022 10:45:19  Obuhvat2D	Cell #	     31922	   68.49	   0.149	22
01SEP2022 10:45:28  Obuhvat2D	Cell #	     29636	   70.12	   0.293	22
01SEP2022 10:45:38  Obuhvat2D	Cell #	     29634	   70.17	   0.267	20
01SEP2022 10:45:47  Obuhvat2D	Cell #	     29634	   70.43	   0.256	21

01SEP2022 10:45:56  Obuhvat2D	Cell #	     29636	   70.42	   0.154	21
01SEP2022 10:46:06  Obuhvat2D	Cell #	     29634	   70.42	   0.119	22
01SEP2022 10:46:15  Obuhvat2D	Cell #	     29633	   70.50	   0.023	21
01SEP2022 10:46:24  Obuhvat2D	Cell #	     29636	   70.43	   0.209	20

01SEP2022 10:46:34  Obuhvat2D	Cell #	     29634	   70.12	   0.239	22
01SEP2022 10:46:43  Obuhvat2D	Cell #	     29634	   70.22	   0.216	20
01SEP2022 10:46:53  Obuhvat2D	Cell #	     29634	   70.39	   0.175	20
01SEP2022 10:47:02  Obuhvat2D	Cell #	     29636	   70.43	   0.174	21

01SEP2022 10:47:11  Obuhvat2D	Cell #	     29634	   70.41	   0.129	22
01SEP2022 10:47:21  Obuhvat2D	Cell #	     29638	   70.26	   0.078	20
01SEP2022 10:47:30  Obuhvat2D	Cell #	     29636	   70.45	   0.245	21
01SEP2022 10:47:39  Obuhvat2D	Cell #	     29634	   70.12	   0.233	22

01SEP2022 10:47:49  Obuhvat2D	Cell #	     29634	   70.21	   0.224	22
01SEP2022 10:47:58  Obuhvat2D	Cell #	     29634	   70.41	   0.200	21
01SEP2022 10:48:08  Obuhvat2D	Cell #	     29636	   70.43	   0.170	20
01SEP2022 10:48:17  Obuhvat2D	Cell #	     29634	   70.42	   0.117	22

01SEP2022 10:48:26  Obuhvat2D	Cell #	     31922	   68.63	   0.054	21
01SEP2022 10:48:36  Obuhvat2D	Cell #	     29636	   70.44	   0.228	21
01SEP2022 10:48:45  Obuhvat2D	Cell #	     31922	   68.42	   0.254	22
01SEP2022 10:48:54  Obuhvat2D	Cell #	     29634	   70.44	   0.288	20

01SEP2022 10:49:04  Obuhvat2D	Cell #	     29636	   70.21	   0.139	20
01SEP2022 10:49:13  Obuhvat2D	Cell #	     29636	   70.42	   0.167	20
01SEP2022 10:49:23  Obuhvat2D	Cell #	     29638	   70.27	   0.071	22
01SEP2022 10:49:32  Obuhvat2D	Cell #	     29634	   70.30	   0.124	20

01SEP2022 10:49:41  Obuhvat2D	Cell #	     29634	   70.12	   0.177	20
01SEP2022 10:49:51  Obuhvat2D	Cell #	     29634	   70.44	   0.238	22
01SEP2022 10:50:00  Obuhvat2D	Cell #	     29634	   70.08	   0.224	22
01SEP2022 10:50:09  Obuhvat2D	Cell #	     29634	   70.27	   0.153	20

01SEP2022 10:50:19  Obuhvat2D	Cell #	     29636	   70.22	   0.127	20
01SEP2022 10:50:28  Obuhvat2D	Cell #	     29634	   70.44	   0.235	20
01SEP2022 10:50:38  Obuhvat2D	Cell #	     29636	   70.47	   0.341	20
01SEP2022 10:50:47  Obuhvat2D	Cell #	     29634	   70.43	   0.255	22

01SEP2022 10:50:56  Obuhvat2D	Cell #	     29634	   70.28	   0.182	20
01SEP2022 10:51:06  Obuhvat2D	Cell #	     29636	   70.23	   0.110	20
01SEP2022 10:51:15  Obuhvat2D	Cell #	     29636	   70.27	   0.148	21
01SEP2022 10:51:24  Obuhvat2D	Cell #	     29634	   70.43	   0.156	21

01SEP2022 10:51:34  Obuhvat2D	Cell #	     29690	   69.81	   0.080	21
01SEP2022 10:51:43  Obuhvat2D	Cell #	     29634	   70.29	   0.136	20
01SEP2022 10:51:53  Obuhvat2D	Cell #	     29634	   70.16	   0.129	20
01SEP2022 10:52:02  Obuhvat2D	Cell #	     29634	   70.45	   0.290	22

01SEP2022 10:52:11  Obuhvat2D	Cell #	     29636	   70.47	   0.341	22
01SEP2022 10:52:21  Obuhvat2D	Cell #	     31922	   68.52	   0.110	20
01SEP2022 10:52:30  Obuhvat2D	Cell #	     29636	   70.28	   0.177	20
01SEP2022 10:52:39  Obuhvat2D	Cell #	     29634	   70.14	   0.303	22

01SEP2022 10:52:49  Obuhvat2D	Cell #	     29634	   70.44	   0.267	20
01SEP2022 10:52:58  Obuhvat2D	Cell #	     29634	   70.08	   0.207	21
01SEP2022 10:53:08  Obuhvat2D	Cell #	     29634	   70.26	   0.171	20
01SEP2022 10:53:17  Obuhvat2D	Cell #	     29638	   70.28	   0.061	22

01SEP2022 10:53:26  Obuhvat2D	Cell #	     29636	   70.40	   0.124	20
01SEP2022 10:53:36  Obuhvat2D	Cell #	     29636	   70.15	   0.253	20
01SEP2022 10:53:45  Obuhvat2D	Cell #	     29636	   70.33	   0.188	20
01SEP2022 10:53:54  Obuhvat2D	Cell #	     29634	   70.44	   0.280	21

01SEP2022 10:54:04  Obuhvat2D	Cell #	     29636	   70.38	   0.110	21
01SEP2022 10:54:13  Obuhvat2D	Cell #	     29634	   70.43	   0.129	21
01SEP2022 10:54:23  Obuhvat2D	Cell #	     29634	   70.08	   0.224	20
01SEP2022 10:54:32  Obuhvat2D	Cell #	     29636	   70.44	   0.211	20

01SEP2022 10:54:41  Obuhvat2D	Cell #	     29638	   70.28	   0.064	22
01SEP2022 10:54:51  Obuhvat2D	Cell #	     29636	   70.28	   0.181	20
01SEP2022 10:55:00  Obuhvat2D	Cell #	     29634	   70.45	   0.294	22
01SEP2022 10:55:09  Obuhvat2D	Cell #	     29634	   70.11	   0.127	22

01SEP2022 10:55:19  Obuhvat2D	Cell #	     29634	   70.44	   0.221	22
01SEP2022 10:55:28  Obuhvat2D	Cell #	     29634	   70.09	   0.194	22
01SEP2022 10:55:38  Obuhvat2D	Cell #	     29636	   70.44	   0.194	21
01SEP2022 10:55:47  Obuhvat2D	Cell #	     29638	   70.34	   0.042	22

01SEP2022 10:55:56  Obuhvat2D	Cell #	     29634	   70.29	   0.133	22
01SEP2022 10:56:06  Obuhvat2D	Cell #	     29634	   70.15	   0.139	20
01SEP2022 10:56:15  Obuhvat2D	Cell #	     29634	   70.44	   0.289	22
01SEP2022 10:56:24  Obuhvat2D	Cell #	     29636	   70.47	   0.344	22

01SEP2022 10:56:34  Obuhvat2D	Cell #	     37336	   62.65	   0.078	21
01SEP2022 10:56:43  Obuhvat2D	Cell #	     29636	   70.28	   0.176	20
01SEP2022 10:56:53  Obuhvat2D	Cell #	     29634	   70.44	   0.263	20
01SEP2022 10:57:02  Obuhvat2D	Cell #	     29636	   70.47	   0.339	21

01SEP2022 10:57:11  Obuhvat2D	Cell #	     29691	   69.57	   0.060	20
01SEP2022 10:57:21  Obuhvat2D	Cell #	     29636	   70.28	   0.176	20
01SEP2022 10:57:30  Obuhvat2D	Cell #	     29634	   70.45	   0.298	22
01SEP2022 10:57:39  Obuhvat2D	Cell #	     29636	   70.47	   0.345	21

01SEP2022 10:57:49  Obuhvat2D	Cell #	     37336	   63.32	   0.072	20
01SEP2022 10:57:58  Obuhvat2D	Cell #	     29634	   70.34	   0.126	21
01SEP2022 10:58:08  Obuhvat2D	Cell #	     29636	   70.17	   0.262	21
01SEP2022 10:58:17  Obuhvat2D	Cell #	     29634	   70.29	   0.138	20

01SEP2022 10:58:26  Obuhvat2D	Cell #	     31922	   68.49	   0.154	22
01SEP2022 10:58:36  Obuhvat2D	Cell #	     29634	   70.45	   0.289	20
01SEP2022 10:58:45  Obuhvat2D	Cell #	     29636	   70.47	   0.331	22
01SEP2022 10:58:54  Obuhvat2D	Cell #	     31922	   68.52	   0.107	20

01SEP2022 10:59:04  Obuhvat2D	Cell #	     29634	   70.13	   0.195	20
01SEP2022 10:59:13  Obuhvat2D	Cell #	     29634	   70.45	   0.282	22
01SEP2022 10:59:23  Obuhvat2D	Cell #	     29634	   70.11	   0.130	20
01SEP2022 10:59:32  Obuhvat2D	Cell #	     29634	   70.22	   0.219	20

01SEP2022 10:59:41  Obuhvat2D	Cell #	     29634	   70.39	   0.167	21
01SEP2022 10:59:51  Obuhvat2D	Cell #	     29636	   70.44	   0.178	20
01SEP2022 11:00:00  Obuhvat2D	Cell #	     29634	   70.43	   0.134	20
01SEP2022 11:00:09  Obuhvat2D	Cell #	     29634	   70.09	   0.188	20

01SEP2022 11:00:19  Obuhvat2D	Cell #	     29634	   70.23	   0.222	22
01SEP2022 11:00:28  Obuhvat2D	Cell #	     29634	   70.42	   0.236	21
01SEP2022 11:00:38  Obuhvat2D	Cell #	     29633	   70.50	   0.034	21
01SEP2022 11:00:47  Obuhvat2D	Cell #	     29636	   70.45	   0.250	21

01SEP2022 11:00:56  Obuhvat2D	Cell #	     29634	   70.14	   0.194	20
01SEP2022 11:01:06  Obuhvat2D	Cell #	     29634	   70.15	   0.288	22
01SEP2022 11:01:15  Obuhvat2D	Cell #	     29634	   70.16	   0.301	20
01SEP2022 11:01:24  Obuhvat2D	Cell #	     29634	   70.44	   0.272	21

01SEP2022 11:01:34  Obuhvat2D	Cell #	     29634	   70.09	   0.180	20
01SEP2022 11:01:43  Obuhvat2D	Cell #	     29634	   70.23	   0.215	20
01SEP2022 11:01:53  Obuhvat2D	Cell #	     29634	   70.41	   0.217	22
01SEP2022 11:02:02  Obuhvat2D	Cell #	     29634	   70.30	   0.199	21

01SEP2022 11:02:11  Obuhvat2D	Cell #	     29634	   70.16	   0.135	21
01SEP2022 11:02:21  Obuhvat2D	Cell #	     29634	   70.45	   0.293	21
01SEP2022 11:02:30  Obuhvat2D	Cell #	     29636	   70.47	   0.342	22
01SEP2022 11:02:39  Obuhvat2D	Cell #	     31922	   68.41	   0.284	20

01SEP2022 11:02:49  Obuhvat2D	Cell #	     31920	   69.04	   0.050	20
01SEP2022 11:02:58  Obuhvat2D	Cell #	     29636	   70.45	   0.235	21
01SEP2022 11:03:08  Obuhvat2D	Cell #	     29634	   70.11	   0.255	20
01SEP2022 11:03:17  Obuhvat2D	Cell #	     29634	   70.44	   0.218	22

01SEP2022 11:03:26  Obuhvat2D	Cell #	     29636	   70.46	   0.271	22
01SEP2022 11:03:36  Obuhvat2D	Cell #	     29638	   70.29	   0.051	21
01SEP2022 11:03:45  Obuhvat2D	Cell #	     29634	   70.42	   0.144	20
01SEP2022 11:03:54  Obuhvat2D	Cell #	     31922	   68.62	   0.110	22

01SEP2022 11:04:04  Obuhvat2D	Cell #	     29636	   70.24	   0.208	20
01SEP2022 11:04:13  Obuhvat2D	Cell #	     29636	   70.43	   0.194	20
01SEP2022 11:04:23  Obuhvat2D	Cell #	     29636	   70.12	   0.315	23
01SEP2022 11:04:32  Obuhvat2D	Cell #	     31922	   68.55	   0.094	21

01SEP2022 11:04:41  Obuhvat2D	Cell #	     29634	   70.45	   0.278	22
01SEP2022 11:04:51  Obuhvat2D	Cell #	     31922	   68.53	   0.125	20
01SEP2022 11:05:00  Obuhvat2D	Cell #	     29636	   70.47	   0.345	20
01SEP2022 11:05:09  Obuhvat2D	Cell #	     29634	   70.15	   0.185	22

01SEP2022 11:05:19  Obuhvat2D	Cell #	     29634	   70.15	   0.298	22
01SEP2022 11:05:28  Obuhvat2D	Cell #	     29634	   70.16	   0.305	22
01SEP2022 11:05:38  Obuhvat2D	Cell #	     29634	   70.43	   0.269	21
01SEP2022 11:05:47  Obuhvat2D	Cell #	     29634	   70.25	   0.149	21

01SEP2022 11:05:56  Obuhvat2D	Cell #	     31922	   68.48	   0.194	22
01SEP2022 11:06:06  Obuhvat2D	Cell #	     29636	   70.44	   0.188	21
01SEP2022 11:06:15  Obuhvat2D	Cell #	     29634	   70.43	   0.145	21
01SEP2022 11:06:24  Obuhvat2D	Cell #	     31922	   68.65	   0.075	21

01SEP2022 11:06:34  Obuhvat2D	Cell #	     29636	   70.46	   0.273	21
01SEP2022 11:06:43  Obuhvat2D	Cell #	     29634	   70.15	   0.182	21
01SEP2022 11:06:53  Obuhvat2D	Cell #	     29634	   70.44	   0.298	22
01SEP2022 11:07:02  Obuhvat2D	Cell #	     29634	   70.11	   0.140	21

01SEP2022 11:07:11  Obuhvat2D	Cell #	     29636	   70.22	   0.233	20
01SEP2022 11:07:21  Obuhvat2D	Cell #	     29636	   70.42	   0.207	21
01SEP2022 11:07:30  Obuhvat2D	Cell #	     29634	   70.09	   0.314	21
01SEP2022 11:07:39  Obuhvat2D	Cell #	     31922	   68.47	   0.206	20

01SEP2022 11:07:49  Obuhvat2D	Cell #	     29636	   70.17	   0.219	21
01SEP2022 11:07:58  Obuhvat2D	Cell #	     29634	   70.43	   0.144	20
01SEP2022 11:08:08  Obuhvat2D	Cell #	     29638	   70.28	   0.055	21
01SEP2022 11:08:17  Obuhvat2D	Cell #	     29634	   70.29	   0.143	22

01SEP2022 11:08:26  Obuhvat2D	Cell #	     31922	   68.44	   0.224	20
01SEP2022 11:08:36  Obuhvat2D	Cell #	     29634	   70.45	   0.302	22
01SEP2022 11:08:45  Obuhvat2D	Cell #	     29636	   70.47	   0.349	21
01SEP2022 11:08:54  Obuhvat2D	Cell #	     29634	   70.46	   0.282	22

01SEP2022 11:09:04  Obuhvat2D	Cell #	     29638	   70.28	   0.053	21
01SEP2022 11:09:13  Obuhvat2D	Cell #	     29636	   70.46	   0.268	21
01SEP2022 11:09:23  Obuhvat2D	Cell #	     31922	   68.44	   0.238	21
01SEP2022 11:09:32  Obuhvat2D	Cell #	     29634	   70.44	   0.297	22

01SEP2022 11:09:41  Obuhvat2D	Cell #	     29634	   70.11	   0.145	21
01SEP2022 11:09:51  Obuhvat2D	Cell #	     29636	   70.22	   0.239	20
01SEP2022 11:10:00  Obuhvat2D	Cell #	     29636	   70.43	   0.210	20
01SEP2022 11:10:09  Obuhvat2D	Cell #	     29691	   69.56	   0.068	22

01SEP2022 11:10:19  Obuhvat2D	Cell #	     29634	   70.43	   0.143	20
01SEP2022 11:10:28  Obuhvat2D	Cell #	     29636	   70.20	   0.174	20
01SEP2022 11:10:38  Obuhvat2D	Cell #	     31922	   68.51	   0.156	21
01SEP2022 11:10:47  Obuhvat2D	Cell #	     29636	   70.17	   0.236	21

01SEP2022 11:10:56  Obuhvat2D	Cell #	     29634	   70.43	   0.158	22
01SEP2022 11:11:06  Obuhvat2D	Cell #	     29636	   70.47	   0.348	22
01SEP2022 11:11:15  Obuhvat2D	Cell #	     29691	   69.61	   0.084	22
01SEP2022 11:11:24  Obuhvat2D	Cell #	     29634	   70.44	   0.233	22

01SEP2022 11:11:34  Obuhvat2D	Cell #	     31922	   68.70	   0.235	20
01SEP2022 11:11:43  Obuhvat2D	Cell #	     31922	   68.41	   0.287	22
01SEP2022 11:11:53  Obuhvat2D	Cell #	     29691	   69.58	   0.056	20
01SEP2022 11:12:02  Obuhvat2D	Cell #	     29634	   70.43	   0.150	20

01SEP2022 11:12:11  Obuhvat2D	Cell #	     29691	   69.45	   0.131	22
01SEP2022 11:12:21  Obuhvat2D	Cell #	     29636	   70.25	   0.185	20
01SEP2022 11:12:30  Obuhvat2D	Cell #	     29636	   70.44	   0.191	20
01SEP2022 11:12:39  Obuhvat2D	Cell #	     29636	   70.11	   0.331	23

01SEP2022 11:12:49  Obuhvat2D	Cell #	     31922	   68.64	   0.052	21
01SEP2022 11:12:58  Obuhvat2D	Cell #	     29634	   70.15	   0.305	23
01SEP2022 11:13:08  Obuhvat2D	Cell #	     29634	   70.45	   0.273	20
01SEP2022 11:13:17  Obuhvat2D	Cell #	     29635	   70.10	   0.034	21

01SEP2022 11:13:26  Obuhvat2D	Cell #	     29636	   70.46	   0.254	21
01SEP2022 11:13:36  Obuhvat2D	Cell #	     29634	   70.18	   0.093	21
01SEP2022 11:13:45  Obuhvat2D	Cell #	     29634	   70.45	   0.264	20
01SEP2022 11:13:54  Obuhvat2D	Cell #	     29634	   70.23	   0.142	20

01SEP2022 11:14:04  Obuhvat2D	Cell #	     31922	   68.46	   0.205	21
01SEP2022 11:14:13  Obuhvat2D	Cell #	     29634	   70.09	   0.314	21
01SEP2022 11:14:23  Obuhvat2D	Cell #	     29634	   70.25	   0.191	20
01SEP2022 11:14:32  Obuhvat2D	Cell #	     29636	   70.23	   0.138	20

01SEP2022 11:14:41  Obuhvat2D	Cell #	     29636	   70.24	   0.216	21
01SEP2022 11:14:51  Obuhvat2D	Cell #	     29691	   69.44	   0.158	20
01SEP2022 11:15:00  Obuhvat2D	Cell #	     29634	   70.43	   0.141	20
01SEP2022 11:15:09  Obuhvat2D	Cell #	     31922	   68.51	   0.158	20

01SEP2022 11:15:19  Obuhvat2D	Cell #	     29634	   70.21	   0.242	22
01SEP2022 11:15:28  Obuhvat2D	Cell #	     29634	   70.45	   0.325	22
